"Variant id","Variant title",SKU,Barcode,"Product id","Product title","Product link",Vendor,Price,"Compare at price","Inventory Item ID","Cost per item","Variant Inventory Qty",Published
33023389189,"Picky Club (10% off)",AFN01_PC10,,8295799173,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts-2,"Chocolate & Peanut Butter",2.47,"2.47 ",21106885317,,-18682,active
33023389253,"Picky Club (20% off)",AFN01_PC20,,8295799173,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts-2,"Chocolate & Peanut Butter",2.20,"2.20 ",21106885381,,-26149,active
33023389317,"Picky Club (30% off)",AFN01_PC30,,8295799173,"Ah, Fudge Nuts!",https:///products/ah-fudge-nuts-2,"Chocolate & Peanut Butter",1.92,"1.92 ",21106885509,,-98130,active
33023586949,"Single bar",BB01,853982004227,8295820421,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle-2,"Blueberries, Almonds & Vanilla",2.75,"2.75 ",21107078917,,-1974,active
33023587077,"10 Bars",BB10,853982004234,8295820421,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle-2,"Blueberries, Almonds & Vanilla",27.50,"27.50 ",21107079045,,-837,active
33023587205,"Picky Club (10% off)",BB01_PC10,,8295820421,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle-2,"Blueberries, Almonds & Vanilla",2.47,"2.47 ",21107079109,,-8378,active
33023587333,"Picky Club (20% off)",BB01_PC20,,8295820421,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle-2,"Blueberries, Almonds & Vanilla",2.20,"2.20 ",21107079173,,-12339,active
33023587525,"Picky Club (30% off)",BB01_PC30,,8295820421,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle-2,"Blueberries, Almonds & Vanilla",1.92,"1.92 ",21107079237,,-46994,active
33023599493,"Single bar",CH01,853982004357,8295821957,"Chai And Catch Me",https:///products/chai-and-catch-me-2,"Almonds, Ginger & Cardamom",2.75,"2.75 ",21107093765,,-1680,active
33023599557,"10 Bars",CH10,853982004364,8295821957,"Chai And Catch Me",https:///products/chai-and-catch-me-2,"Almonds, Ginger & Cardamom",27.50,"27.50 ",21107093893,,-6,active
33023599685,"Picky Club (10% off)",CH01_PC10,,8295821957,"Chai And Catch Me",https:///products/chai-and-catch-me-2,"Almonds, Ginger & Cardamom",2.47,"2.47 ",21107094021,,-7191,active
33023599749,"Picky Club (20% off)",CH01_PC20,,8295821957,"Chai And Catch Me",https:///products/chai-and-catch-me-2,"Almonds, Ginger & Cardamom",2.20,"2.20 ",21107094149,,-10882,active
33023599877,"Picky Club (30% off)",CH01_PC30,,8295821957,"Chai And Catch Me",https:///products/chai-and-catch-me-2,"Almonds, Ginger & Cardamom",1.92,"1.92 ",21107094213,,-41094,active
40638204677,"Single Serve Pouch",GM-P1,853982004265,8897672389,"Game, Set, Matcha! [pouch]",https:///products/game-set-matcha,"Matcha, Goji Berries, Pepitas & Cardamom",2.99,"2.99 ",28602495877,,-219,active
40638204997,"Picky Club (10% off)",GM-P1_PC10,,8897672389,"Game, Set, Matcha! [pouch]",https:///products/game-set-matcha,"Matcha, Goji Berries, Pepitas & Cardamom",2.69,"2.69 ",28602496005,,-7150,active
40638205125,"Picky Club (20% off)",GM-P1_PC20,,8897672389,"Game, Set, Matcha! [pouch]",https:///products/game-set-matcha,"Matcha, Goji Berries, Pepitas & Cardamom",2.39,"2.39 ",28602496069,,-7664,active
40638205253,"Picky Club (30% off)",GM-P1_PC30,,8897672389,"Game, Set, Matcha! [pouch]",https:///products/game-set-matcha,"Matcha, Goji Berries, Pepitas & Cardamom",2.09,"2.09 ",28602496133,,-15438,active
40770106885,"Single Serve Pouch",BC-P1,853982004586,8904081413,"Can't Beet Chocolate [pouch]",https:///products/cant-beet-chocolate,"Beet, Cacao, Chia Seeds & Almond",2.99,"2.99 ",28733630597,,-214,active
40770106949,"Picky Club (10% off)",BC-P1_PC10,,8904081413,"Can't Beet Chocolate [pouch]",https:///products/cant-beet-chocolate,"Beet, Cacao, Chia Seeds & Almond",2.69,"2.69 ",28733630661,,-10984,active
40770107013,"Picky Club (20% off)",BC-P1_PC20,,8904081413,"Can't Beet Chocolate [pouch]",https:///products/cant-beet-chocolate,"Beet, Cacao, Chia Seeds & Almond",2.39,"2.39 ",28733630789,,-11319,active
40770107077,"Picky Club (30% off)",BC-P1_PC30,,8904081413,"Can't Beet Chocolate [pouch]",https:///products/cant-beet-chocolate,"Beet, Cacao, Chia Seeds & Almond",2.09,"2.09 ",28733630853,,-23820,active
40771777285,"Single Serve Pouch",DA-P1,853982004623,8904200197,"How ‘bout Dem Apples? [pouch]",https:///products/how-bout-dem-apples,"Apple, Cinnamon, Chia Seeds & Ginger",2.99,"2.99 ",28735288965,,-16,active
40771777349,"Picky Club (10% off)",DA-P1_PC10,,8904200197,"How ‘bout Dem Apples? [pouch]",https:///products/how-bout-dem-apples,"Apple, Cinnamon, Chia Seeds & Ginger",2.69,"2.69 ",28735289093,,-11547,active
40771777477,"Picky Club (20% off)",DA-P1_PC20,,8904200197,"How ‘bout Dem Apples? [pouch]",https:///products/how-bout-dem-apples,"Apple, Cinnamon, Chia Seeds & Ginger",2.39,"2.39 ",28735289221,,-12080,active
40771777605,"Picky Club (30% off)",DA-P1_PC30,,8904200197,"How ‘bout Dem Apples? [pouch]",https:///products/how-bout-dem-apples,"Apple, Cinnamon, Chia Seeds & Ginger",2.09,"2.09 ",28735289349,,-25136,active
43819692101,,Book-FTT,9781937715748,9125350597,"Fast-Track Triathlete",https:///products/fast-track-triathlete,"Picky Bars",17.50,"25.00 ",31734351237,,0,active
43820546053,,PBVEGAN5,,9125402949,"Vegan Rally",https:///products/vegan-variety-pack-energy-bars,"Ah, Fudge Nuts!, All-In Almond, Blueberry Boomdizzle, Cinnamon Roll'n, Smooth Caffeinator",13.75,"13.75 ",31735210053,,0,active
43821830341,,PBPODIUM3,,9125491845,"Podium Sampler",https:///products/bestsellers-energy-bars,"Ah, Fudge Nuts!, Lauren's Mega Nuts, Smooth Caffeinator",8.25,"8.25 ",31736499269,,0,active
269733494789,,PB-GW,,28367060997,"Picky Gift Wrapping",https:///products/picky-giftwrapping,"Picky Bars",0.00,"0.00 ",266577543173,,0,draft
316429500421,"Women's Small",PB-SST-WS,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315786788869,,0,active
316581937157,"Women's Medium",PB-SST-WM,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315940077573,,0,active
316581969925,"Women's Large",PB-SST-WL,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315940110341,,0,active
316582002693,"Women's X Large",PB-SST-WXL,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315940143109,,0,active
316582035461,"Men's Small",PB-SST-MS,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315940175877,,0,active
316582068229,"Men's Medium",PB-SST-MM,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315940208645,,0,active
316582100997,"Men's Large",PB-SST-ML,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315940241413,,0,active
316582133765,"Men's X Large",PB-SST-MXL,,32545079301,"Sidecountry Sasquatch Tee",https:///products/sidecountry-sasquatch-tee,"Picky Bars",15.00,"25.00 ",315940274181,,0,active
449407516677,,PB36,,44876038149,"40 Bar Mix Pack",https:///products/40-bar-mix-pack-energy-bars,"Picky Bars",94.40,"111.60 ",450677211141,,-766,active
449838481413,"Men's XL",PB-ZipHoodie,,44896321541,"Zip Up Hoodie",https:///products/zip-up-hoodie,"Picky Bars",49.99,"49.99 ",451108175877,,0,active
450624978949,,PB_3mths,,44945047557,"3 Months of Bars",https:///products/3-months-of-bars,"Picky Bars",99.00,"99.00 ",451896213509,,-23,draft
451390013445,Small,PBSWEATS,,45016842245,"That’s My Crew(neck)",https:///products/that-s-my-crewneck,"Picky Bars",49.99,"49.99 ",452663050245,,0,active
451390046213,Medium,PBSWEATM,,45016842245,"That’s My Crew(neck)",https:///products/that-s-my-crewneck,"Picky Bars",49.99,"49.99 ",452663083013,,0,active
451390078981,Large,PBSWEATL,,45016842245,"That’s My Crew(neck)",https:///products/that-s-my-crewneck,"Picky Bars",49.99,"49.99 ",452663115781,,0,active
